"1","Kura","2001"
"2","Gainesville","2012"
"3","Putang","1990"
"4","Santa Rosa de Cabal","2004"
"5","Vitry-sur-Seine","1997"
"6","Casal","2005"
"7","Batutulis","1996"
"8","Hongmiao","2002"
"9","Chiguang","1983"
"10","Tortosendo","1987"
"11","Delicias","2011"
"12","Concepci?n","2004"
"13","Sab?ia","1990"
"14","Fern?ndez","2012"
"15","Shadui","1999"
"16","Zhendu","2012"
"17","Shuangqiao","1999"
"18","Matsubase","2007"
"19","Xinshi","1997"
"20","Dongfeng","2009"
"21","Dulangan","2003"
"22","Eqb?l?yeh","2009"
"23","Pura","2008"
"24","Subaykh?n","2000"
"25","Chiguirip","2007"
"26","?lvdalen","2000"
"27","Tucano","1994"
"28","K?benhavn","2000"
"29","Itoigawa","1995"
"30","Batan","1994"
"31","Fenglin","2006"
"32","Anjirmuara","2007"
"33","Alannay","2001"
"34","Gal?n","1998"
"35","Port Erin","1985"
"36","San Miguel Due?as","1993"
"37","Habana del Este","2009"
"38","Unquillo","1993"
"39","Hakha","1968"
"40","Xiongji","1999"
"41","Mucifal","1993"
"42","Ozalj","2012"
"43","Oslo","1990"
"44","Pa?os de Ferreira","1996"
"45","A?yira","2010"
"46","O?arowice","2005"
"47","Xinfeng","1994"
"48","Panjg?r","2008"
"49","Aughrim","2006"
"50","Kuvshinovo","2003"
"51","Baykonyr","2007"
"52","Clamart","2001"
"53","Bambous Virieux","1993"
"54","Haolaishan","1997"
"55","Nangalisan","1987"
"56","Erandique","2008"
"57","Gresik","2002"
"58","Itupiranga","2011"
"59","Dosso","2007"
"60","Kholm","2001"
"61","?dilpur","2000"
"62","Bor?s","2012"
"63","Kinloch","2000"
"64","Pananaw","1999"
"65","Ardino","2008"
"66","Cunliji","1994"
"67","Kitahiroshima","2007"
"68","Tetaf","2010"
"69","Qitan","2009"
"70","Luhe","1999"
"71","Taibai","2012"
"72","Banjar Penyalin","2000"
"73","Magsaysay","2002"
"74","San Lorenzo de Esmeraldas","2006"
"75","Go?vai","1998"
"76","Redcliff","1997"
"77","Zelenodolsk","1990"
"78","Brive-la-Gaillarde","1989"
"79","Krajan Langenharjo","1994"
"80","Nardaran","1988"
