sep=<tab>
0	ד.נ. הנגב , נירים	נירים מוסך הקבוץ	054-7916219
1	ד.נ. חלוצה , רביבים	קבוץ רביבים	08-6562541
2	ג. שאול מרכז ספיר 6 , ירושלים	עמליה שרון - מוסך רוממה ירושלים	02-6516060
3	ד.נ. הנגב , סעד	קבוץ סעד	08-6800402
4	ד.נ.  חוף אשקלון , זיקים	מוסך ויזמות א.ש.חקלאית בע מ	08-6746416
5	דנ עמק שורק , כפר מנחם	כפר מנחם מוסך הקיבוץ	08-8508422
6	ד.נ. הנגב , שובל	אחזקות שובל אגש ח בע מ  - מוסך	08-9916217
7	ד.נ חוף אשקלון , יד מרדכי	מרכז שרות יד מרדכי אגש ח בע מ	08-6720513
8	ד.נ . הנגב , אורים	אחזקות  אורים אגש ח בע מ	08-9920233
9	ד.נ. הנגב בארי , בארי	בארי יזמויות א.ג.שח בע מ	08-9949468
10	ת.ד.75 מוסך רכב קל , באר שבע	מפעלי ים המלח בע מ סדום	08-9977913
11	דרך בית לחם 11 , ירושלים	אבו סביח אמין - צמיגי בקעה	02-6481555
12	צומת שמשון ד.נ. שמשון , בית שמש	פנצרית צומת המהפך	02-9917907
13	נמל אילת ת.ד.37 , אילת	חברת נמל אילת בע מ	08-6358395
14	פנחס החוצב 1 ת.ד 17270 , באר שבע	מוסך וייסמן בע מ	08-6277898
15	הנגרים 10 ת ד 281 , באר שבע	מוסך המחדש - אסעדון חנן	08-6234886
16	מסמיה ד.נ שקמים , בני ראם	מוסך מסמיה מ.י בע מ	08-8583568
17	המרכבה 15 , אשקלון	מוסך רמ ר (1987)בע מ	08-6759995
18	אליהו נאוי 6 , באר שבע	סול טסט בע מ	08-6279152
19	פליקס זנדמן 1 , דימונה	מפעלי תובלה בע מ	08-6821312
20	ד.נ. חוף אשקלון , דורות	קבוץ דורות בע מ	08-6808094
21	רוממה הריקמה 7 , ירושלים	מוסך אדיב ארמוזה בע מ	02-5380340
