"CSID","licence_number","model_id","buy_year","branch_id","color_id"
0,95186500,288,2017,512,3
1,56271381,234,2020,363,6
2,82311284,1114,2022,392,6
3,83574759,780,2022,416,4
4,19943401,997,2020,993,5
5,22833908,578,2022,193,4
6,82329929,317,2022,696,5
7,45224365,88,2018,728,4
8,55504557,822,2021,750,1
9,57817952,333,2018,981,1
10,10758279,1129,2022,927,1
11,74097693,158,2020,236,3
12,44861380,463,2020,508,1
13,10705722,153,2019,701,2
14,80115646,978,2017,889,1
15,82577589,401,2017,695,2
16,22539654,431,2021,158,1
17,29246918,563,2020,316,2
18,12696549,1041,2022,662,2
19,41680030,280,2022,883,3
20,16418677,974,2017,70,3
21,57800840,536,2018,403,5
22,24778407,800,2019,10,4
23,67757265,452,2017,507,2
24,13837003,157,2020,582,1
25,32442181,41,2020,576,2
26,17786623,941,2018,673,1
27,24502440,752,2021,425,5
28,90756924,859,2021,183,2
29,81384265,954,2021,61,5
30,37521312,255,2021,909,1
31,60002495,604,2020,35,1
32,94202784,817,2022,201,4
33,53243693,999,2017,110,4
34,41086703,574,2019,855,4
35,29888767,967,2020,632,3
36,20324399,281,2017,285,1
37,62066104,900,2017,482,2
38,86387211,1100,2020,496,4
39,57072296,974,2018,222,1
40,60353582,415,2019,49,5
41,91240588,842,2022,988,3
42,78306863,928,2021,225,2
43,25326504,977,2022,536,4
44,99791994,270,2019,109,5
45,11517480,443,2017,830,2
46,32237912,768,2021,152,3
47,62704502,294,2021,784,10
48,71263264,482,2020,438,3
49,26776569,979,2017,526,1
50,78457726,971,2019,755,5
51,55451570,623,2017,97,3
52,91163861,525,2017,309,4
53,91623160,843,2018,92,6
54,79253814,806,2022,573,1
55,71390247,1118,2019,255,2
56,81074649,120,2021,573,3
57,23919376,1096,2021,328,1
58,89379549,906,2020,134,5
59,66608242,475,2018,574,5
60,68416810,173,2019,785,2
61,71635308,165,2022,155,2
62,80047993,455,2021,995,2
63,51051285,664,2018,889,5
64,97965851,973,2021,494,5
65,65307423,657,2020,537,4
66,20055391,627,2020,3,3
67,18878778,668,2019,391,6
68,58775791,688,2020,63,5
69,75345811,1108,2020,516,3
70,63220190,1134,2022,378,3
71,97667851,152,2017,123,1
72,81921279,796,2021,904,5
73,95959412,13,2017,341,5
74,80597441,747,2017,258,3
75,25276196,991,2020,984,2
76,11732279,118,2017,445,6
77,16423234,306,2021,117,4
78,44661571,585,2017,516,1
79,69649831,584,2022,190,2
80,27564466,556,2021,389,1
81,83212845,513,2022,980,1
82,97653687,5,2022,176,3
83,74228189,699,2019,822,1
84,19932885,316,2020,713,1
85,42419973,1015,2022,342,3
86,47696941,178,2020,475,2
87,53451160,62,2022,591,5
88,66985032,423,2017,277,2
89,76255184,1005,2018,869,2
90,56722940,114,2017,417,3
91,91795826,163,2021,579,2
92,41791580,736,2022,758,3
93,88708364,1119,2017,444,5
94,50885737,379,2021,916,1
95,98434391,1077,2018,324,4
96,71252926,827,2022,449,4
97,61356189,615,2021,240,2
98,51399747,326,2019,28,1
99,91548203,110,2017,462,4
100,29924629,204,2020,285,6
101,93692590,83,2021,47,6
102,20495365,283,2019,833,2
103,58078781,639,2020,460,2
104,34143718,905,2018,102,4
105,88804399,567,2020,933,2
106,14843778,965,2017,881,3
107,40295797,797,2021,469,3
108,32587297,1088,2017,475,1
109,80122703,525,2017,171,1
110,96705790,776,2019,317,3
111,68321918,899,2017,419,4
112,76040464,253,2022,953,1
113,57763917,89,2021,803,2
114,44594133,783,2017,609,1
115,78929746,215,2020,775,2
116,47378808,96,2019,513,1
117,15955251,1002,2019,763,3
118,32056110,321,2019,812,1
119,48628845,915,2022,376,5
120,61594817,678,2021,615,2
121,39677148,465,2022,746,1
122,15294154,157,2019,597,7
123,79713856,722,2018,779,2
124,16945978,43,2018,75,3
125,66918536,73,2020,615,1
126,41683483,796,2021,279,1
127,44952206,572,2018,259,4
128,12933449,844,2017,339,5
129,60172499,485,2017,880,2
130,55628948,536,2017,984,6
131,13711255,215,2020,418,2
132,82219104,741,2019,593,3
133,83753889,168,2018,670,1
134,10503837,91,2019,167,1
135,81699413,873,2018,936,1
136,55502517,98,2020,420,1
137,94368700,434,2018,586,4
138,64781375,1019,2019,118,2
139,83623360,529,2017,277,3
140,13784469,852,2020,307,1
141,52939572,522,2020,985,3
142,76782909,10,2022,811,3
143,11646673,712,2018,234,1
144,75250762,69,2017,422,6
145,68596369,825,2022,64,4
146,26637723,600,2018,36,1
147,59924108,163,2021,902,1
148,16293954,393,2020,233,2
149,27122464,377,2021,942,4
150,46794950,992,2022,202,9
151,22388327,912,2018,939,1
152,67371621,64,2017,347,2
153,32510816,510,2018,874,3
154,62514479,47,2021,850,6
155,10732421,1085,2019,91,11
156,87697226,756,2018,379,4
157,89418868,899,2019,387,3
158,25198442,213,2022,171,4
159,10931108,895,2019,794,4
160,21122699,359,2019,801,7
161,27478169,150,2022,177,6
162,87038078,459,2020,643,2
163,82478338,272,2019,713,3
164,92627465,647,2022,123,3
165,52739197,435,2022,638,3
166,12550605,1023,2022,443,4
167,51403725,216,2018,869,2
168,99689971,635,2019,580,1
169,26622697,604,2022,1,5
170,22753811,287,2018,145,5
171,15102121,270,2017,178,2
172,37317100,1111,2021,609,3
173,67990408,200,2021,513,2
174,87305006,944,2019,645,1
175,10893666,421,2019,276,2
176,25504961,794,2021,101,3
177,85419900,732,2022,486,3
178,63144552,620,2019,644,4
179,12092923,814,2021,965,1
180,83224901,869,2020,408,1
181,39510486,961,2020,624,6
182,91226888,312,2021,813,6
183,93437986,445,2022,727,1
184,23003671,579,2018,733,2
185,47386080,583,2022,595,1
186,87398849,1040,2022,880,1
187,21162078,322,2017,50,1
188,22055348,914,2021,156,6
189,52682058,886,2017,18,1
190,15593720,141,2017,564,2
191,49209618,116,2022,576,6
192,32763069,364,2021,25,1
193,76782532,995,2017,136,1
194,57992118,726,2020,15,1
195,39872692,530,2019,177,1
196,35725101,370,2022,444,2
197,70111622,110,2019,137,1
198,57952355,775,2019,521,3
199,67029086,142,2021,223,2
200,31087091,379,2018,392,4
201,44712258,270,2017,738,5
202,60591341,758,2021,454,6
203,81815101,757,2019,549,1
204,97963351,986,2017,89,5
205,78802785,8,2018,233,2
206,39043079,239,2022,497,2
207,81140075,198,2020,753,5
208,47354035,798,2018,226,4
209,55316278,481,2018,317,1
210,83561357,822,2017,418,9
211,47959805,198,2019,75,4
212,56530905,609,2021,128,3
213,49940255,1,2019,441,2
214,35748786,43,2017,467,1
215,92455145,687,2019,486,1
216,14134757,132,2022,761,2
217,14687289,974,2017,992,2
218,85003849,311,2019,190,1
219,50166081,173,2018,84,1
220,87409538,133,2022,485,1
221,72650042,1012,2021,781,4
222,77676672,181,2019,887,7
223,38729666,1110,2017,775,1
224,22710621,1060,2018,290,1
